"NAME","RANK_PROJECTED","RANK_PROJECTED_LIVE","RANK_SCORED","FANTASY_POINTS_PROJECTED","FANTASY_POINTS_PROJECTED_LIVE","FANTASY_POINTS_SCORED","IPO_PRICE","SUGGESTED_PRICE","LAST_PRICE","BID_PRICE","ASK_PRICE","FINAL_PRICE","PROJECTED_VALUATION","CURRENT_VALUATION","TRADEABLE_ID","ENTITY_ID","TEAM_ID","TEAM_ABBREVIATION","EVENT_ID","EVENT_NAME"
"Gary Trent",74,75,74,26.77,26.77,"NULL","NULL",2.82,"NULL","NULL","NULL","NULL","1.38","1.38","tdbl_6369e253c08de5cf0b04a4c808a880c2","en_0b04a4c808a880c2d179229fd24666c8","team_348740f5a05d6c44db96baaa917e5412","TOR","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"Kelly Oubre",75,69,75,27.44,27.44,"NULL","NULL",3.03,"NULL","NULL","NULL","NULL","1.32","1.32","tdbl_6369e253c08de5cf9c54cda727de77cf","en_9c54cda727de77cf01b28c065e2e39c6","team_0f1b93d1f9daa8aad8d27fb0165fc89a","CHA","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"John Wall",76,76,76,26.53,26.53,"NULL","NULL",2.62,"NULL","NULL","NULL","NULL","1.26","1.26","tdbl_6369e253c08de5cfe9d06d05152dd51e","en_e9d06d05152dd51e4a3b68b4b5b62305","team_7dd4f60270d41675e670de5d3b365167","LAC","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"Royce O'Neale",77,79,77,26.01,26.01,"NULL","NULL",2.66,"NULL","NULL","NULL","NULL","1.2","1.2","tdbl_6369e253c08de5cf574634846501d886","en_574634846501d886d640e4afbb2bd822","team_926e47503c56d019668d93e2cfa33df6","BKN","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"Collin Sexton",78,80,78,25.76,25.76,"NULL","NULL",2.19,"NULL","NULL","NULL","NULL","1.14","1.14","tdbl_6369e253c08de5cf7f80713e2926a28c","en_7f80713e2926a28c7a77d1dfb83c2475","team_1a5bcc13aa6b9c181ed4a0e9eb55d5d4","UTA","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"Isaiah Stewart",79,81,79,25.59,25.59,"NULL","NULL",2.66,"NULL","NULL","NULL","NULL","1.08","1.08","tdbl_6369e253c08de5cf5fda3612fa4ee331","en_5fda3612fa4ee3316b0ca8caed9fd261","team_aa96573963b629bf2a078d8cc3e107b2","DET","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"Marcus Morris",80,83,80,25.39,25.39,"NULL","NULL",2.58,"NULL","NULL","NULL","NULL","1","1","tdbl_6369e253c08de5cf6e82fa5f30bdfa80","en_6e82fa5f30bdfa80607852c24ab871dc","team_7dd4f60270d41675e670de5d3b365167","LAC","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"Jalen Smith",81,82,81,25.4,25.4,"NULL","NULL",2.4,"NULL","NULL","NULL","NULL","1","1","tdbl_6369e253c08de5cf5fda3612d0d5fa88","en_5fda3612d0d5fa882af1893d65d4a236","team_fddfa070df9277c85017cffe4104b12e","IND","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"Kelly Olynyk",82,84,82,25.38,25.38,"NULL","NULL",2.37,"NULL","NULL","NULL","NULL","1","1","tdbl_6369e253c08de5cf0483c685aa422392","en_0483c685aa422392b87f326292941df6","team_1a5bcc13aa6b9c181ed4a0e9eb55d5d4","UTA","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"Al Horford",83,85,83,25.24,25.24,"NULL","NULL",2.55,"NULL","NULL","NULL","NULL","1","1","tdbl_6369e253c08de5cf63a58b55849249a4","en_63a58b55849249a4da31c5159c277902","team_1fb9f79b7b84d69cf4ca8b6c43ca0817","BOS","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"Mason Plumlee",84,77,84,26.3,26.3,"NULL","NULL",2.63,"NULL","NULL","NULL","NULL","1","1","tdbl_6369e253c08de5cf60935204130384bb","en_60935204130384bb89701c792e485d77","team_0f1b93d1f9daa8aad8d27fb0165fc89a","CHA","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"Jaden Ivey",85,86,85,24.68,24.68,"NULL","NULL",2.42,"NULL","NULL","NULL","NULL","1","1","tdbl_6369e253c08de5cf62bafc5742cbee38","en_62bafc5742cbee38171b069f27e52c8d","team_aa96573963b629bf2a078d8cc3e107b2","DET","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"Saddiq Bey",86,87,86,24.36,24.36,"NULL","NULL",2.23,"NULL","NULL","NULL","NULL","1","1","tdbl_6369e253c08de5cf5fda3612e4bbd332","en_5fda3612e4bbd3328ef939b04cb0fc7f","team_aa96573963b629bf2a078d8cc3e107b2","DET","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"Caris LeVert",87,88,87,24.13,24.13,"NULL","NULL",2.22,"NULL","NULL","NULL","NULL","1","1","tdbl_6369e253c08de5cf4f8bfd04c6dc18eb","en_4f8bfd04c6dc18eb1998461cfe818391","team_c00646340cb990d711ba0a71836a83f9","CLE","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"Dillon Brooks",88,89,88,24.05,24.05,"NULL","NULL",2.24,"NULL","NULL","NULL","NULL","1","1","tdbl_6369e253c08de5cfaf7276ad9c2ac994","en_af7276ad9c2ac9947430e2666d4df10b","team_ee38041b627b686997c75b66a27c2d63","MEM","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"Chris Boucher",89,90,89,24,24,"NULL","NULL",2.08,"NULL","NULL","NULL","NULL","1","1","tdbl_6369e253c08de5cfc8575d48d76bc1fc","en_c8575d48d76bc1fc63dd1b9b84f50fbd","team_348740f5a05d6c44db96baaa917e5412","TOR","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"Bones Hyland",90,91,90,23.85,23.85,"NULL","NULL",2.01,"NULL","NULL","NULL","NULL","1","1","tdbl_6369e253c08de5cf6151cad62230d74e","en_6151cad62230d74e08921efab31141e4","team_0d0866361e9040ebffc04d6b5615caf7","DEN","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"Kevin Love",91,92,91,23.81,23.81,"NULL","NULL",2.1,"NULL","NULL","NULL","NULL","1","1","tdbl_6369e253c08de5cf2a73bfb57ac5404e","en_2a73bfb57ac5404ed58053fe045a1b9b","team_c00646340cb990d711ba0a71836a83f9","CLE","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"Kevin Huerter",92,93,92,23.28,23.28,"NULL","NULL",2.03,"NULL","NULL","NULL","NULL","1","1","tdbl_6369e253c08de5cf023e68c6cd6cd622","en_023e68c6cd6cd62221a956b734beda2d","team_3e7ac27c9ed5ebd3354872841521e986","SAC","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"Bennedict Mathurin",93,94,93,23.16,23.16,"NULL","NULL",2.08,"NULL","NULL","NULL","NULL","1","1","tdbl_6369e253c08de5cf62bafc57d06989a2","en_62bafc57d06989a2314f8e50819339ea","team_fddfa070df9277c85017cffe4104b12e","IND","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"Luguentz Dort",94,95,94,22.73,22.73,"NULL","NULL",1.92,"NULL","NULL","NULL","NULL","1","1","tdbl_6369e253c08de5cf85078b5202b93fb5","en_85078b5202b93fb54b82975a7a022b4c","team_f8d4d4a89c62cfd39080728541a78e1d","OKC","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"Jordan Nwora",95,96,95,22.06,22.06,"NULL","NULL",1.98,"NULL","NULL","NULL","NULL","1","1","tdbl_6369e253c08de5cf5fda36122c47597b","en_5fda36122c47597bd07974b00c82d66c","team_a6917fcb35a29ee9de8c00be7e36f5ae","MIL","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"De'Andre Hunter",96,97,96,22.02,22.02,"NULL","NULL",1.89,"NULL","NULL","NULL","NULL","1","1","tdbl_6369e253c08de5cf0d467470e15ea91b","en_0d467470e15ea91b6aae2c96ea264929","team_4d7379c8d756e5a15190c56b550778a8","ATL","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"Kentavious Caldwell-Pope",97,98,97,21.98,21.98,"NULL","NULL",1.89,"NULL","NULL","NULL","NULL","1","1","tdbl_6369e253c08de5cff2b631af853210c3","en_f2b631af853210c349589897ce70181d","team_0d0866361e9040ebffc04d6b5615caf7","DEN","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"Bojan Bogdanovic",98,99,98,21.83,21.83,"NULL","NULL",1.94,"NULL","NULL","NULL","NULL","1","1","tdbl_6369e253c08de5cfd407a123802e4786","en_d407a123802e47862695dc76310ee0f5","team_aa96573963b629bf2a078d8cc3e107b2","DET","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"Andrew Nembhard",99,100,99,21.7,21.7,"NULL","NULL",1.73,"NULL","NULL","NULL","NULL","1","1","tdbl_6369e253c08de5cf62bafc57af7da1bc","en_62bafc57af7da1bcb26fba74c660ed86","team_fddfa070df9277c85017cffe4104b12e","IND","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"Joe Harris",100,101,100,21.58,21.58,"NULL","NULL",1.86,"NULL","NULL","NULL","NULL","1","1","tdbl_6369e253c08de5cf3c7eaf589d0dd271","en_3c7eaf589d0dd271990a183d4d233b76","team_926e47503c56d019668d93e2cfa33df6","BKN","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"Cam Thomas",101,102,101,21.56,21.56,"NULL","NULL",1.9,"NULL","NULL","NULL","NULL","1","1","tdbl_6369e253c08de5cf6151cad9661c29cb","en_6151cad9661c29cb5842ee8bf51930bd","team_926e47503c56d019668d93e2cfa33df6","BKN","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"Reggie Jackson",102,104,102,21.49,21.49,"NULL","NULL",1.83,"NULL","NULL","NULL","NULL","1","1","tdbl_6369e253c08de5cfe9aea717e9a5e7f3","en_e9aea717e9a5e7f38ff52b27abdf2fc3","team_7dd4f60270d41675e670de5d3b365167","LAC","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"Jevon Carter",103,103,103,21.51,21.51,"NULL","NULL",1.94,"NULL","NULL","NULL","NULL","1","1","tdbl_6369e253c08de5cfb295b39c7b29d4be","en_b295b39c7b29d4bebcb333584b81e8cc","team_a6917fcb35a29ee9de8c00be7e36f5ae","MIL","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"Jusuf Nurkic",104,134,104,0,0,"NULL","NULL",1,"NULL","NULL","NULL","NULL","1","1","tdbl_6369e253c08de5cf1a3043d6384c59cc","en_1a3043d6384c59cc7e9b304f71dac862","team_25ee4cc4ceb6e55bf09e36b84fafffe3","POR","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"Ayo Dosunmu",105,105,105,21.12,21.12,"NULL","NULL",1.67,"NULL","NULL","NULL","NULL","1","1","tdbl_6369e253c08de5cf6151cadab40232a2","en_6151cadab40232a24f6d14f93cc3dfcc","team_c13144b884a226eb1644f76c1538f47f","CHI","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"Malik Monk",106,106,106,20.95,20.95,"NULL","NULL",1.67,"NULL","NULL","NULL","NULL","1","1","tdbl_6369e253c08de5cfd4ab4a163ca3179c","en_d4ab4a163ca3179cba7a90cba1336a9f","team_3e7ac27c9ed5ebd3354872841521e986","SAC","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"Isaiah Hartenstein",107,107,107,20.75,20.75,"NULL","NULL",1.7,"NULL","NULL","NULL","NULL","1","1","tdbl_6369e253c08de5cfc15d96ca65771e95","en_c15d96ca65771e952213828f87baf51a","team_5deb8a73923692ffb84a1e59b19b2839","NYK","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"Ben Simmons",108,108,108,20.65,20.65,"NULL","NULL",1.66,"NULL","NULL","NULL","NULL","1","1","tdbl_6369e253c08de5cffcc6299cf30b55e3","en_fcc6299cf30b55e3c176491d2a7fc96c","team_926e47503c56d019668d93e2cfa33df6","BKN","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"Keegan Murray",109,109,109,20.6,20.6,"NULL","NULL",1.69,"NULL","NULL","NULL","NULL","1","1","tdbl_6369e253c08de5cf62bafc565901a49d","en_62bafc565901a49d09786220a59a08ed","team_3e7ac27c9ed5ebd3354872841521e986","SAC","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"Trae Young",110,110,110,20.53,20.53,"NULL","NULL",1.88,"NULL","NULL","NULL","NULL","1","1","tdbl_6369e253c08de5cffc14939530748ee0","en_fc14939530748ee0e24ad4571b5c8921","team_4d7379c8d756e5a15190c56b550778a8","ATL","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"Jabari Smith",111,111,111,20.31,20.31,"NULL","NULL",1.7,"NULL","NULL","NULL","NULL","1","1","tdbl_6369e253c08de5cf62bafc56417b8117","en_62bafc56417b811787a215a2ff770421","team_682f0dedc9cc1e1459a84a8fa457adfa","HOU","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"Patrick Williams",112,112,112,19.96,19.96,"NULL","NULL",1.6,"NULL","NULL","NULL","NULL","1","1","tdbl_6369e253c08de5cf5fda36125393d877","en_5fda36125393d8774d9f81bbe1360417","team_c13144b884a226eb1644f76c1538f47f","CHI","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"Eric Gordon",113,113,113,19.85,19.85,"NULL","NULL",1.55,"NULL","NULL","NULL","NULL","1","1","tdbl_6369e253c08de5cf9e314ab9e97d6d4e","en_9e314ab9e97d6d4e11f3d4fd055d785d","team_682f0dedc9cc1e1459a84a8fa457adfa","HOU","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"Onyeka Okongwu",114,114,114,19.82,19.82,"NULL","NULL",1.51,"NULL","NULL","NULL","NULL","1","1","tdbl_6369e253c08de5cf5fda36116deb8dde","en_5fda36116deb8ddeedbcf8b33b9475e2","team_4d7379c8d756e5a15190c56b550778a8","ATL","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"Obi Toppin",115,116,115,19.62,19.62,"NULL","NULL",1.5,"NULL","NULL","NULL","NULL","1","1","tdbl_6369e253c08de5cf5fda3611fa47c3e3","en_5fda3611fa47c3e3234def2ba3d9b970","team_5deb8a73923692ffb84a1e59b19b2839","NYK","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"Santi Aldama",116,117,116,19.6,19.6,"NULL","NULL",1.62,"NULL","NULL","NULL","NULL","1","1","tdbl_6369e253c08de5cf6151cada2b1ec258","en_6151cada2b1ec258d9eb46cc76521077","team_ee38041b627b686997c75b66a27c2d63","MEM","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"Kenyon Martin",117,118,117,19.51,19.51,"NULL","NULL",1.51,"NULL","NULL","NULL","NULL","1","1","tdbl_6369e253c08de5cf5fda36112627a391","en_5fda36112627a391888108e742e0b746","team_682f0dedc9cc1e1459a84a8fa457adfa","HOU","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"Harrison Barnes",118,119,118,19.45,19.45,"NULL","NULL",1.61,"NULL","NULL","NULL","NULL","1","1","tdbl_6369e253c08de5cfb809d1c7049b670f","en_b809d1c7049b670f11c7436db6fcd2ff","team_3e7ac27c9ed5ebd3354872841521e986","SAC","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"Jalen McDaniels",119,115,119,19.7,19.7,"NULL","NULL",1.61,"NULL","NULL","NULL","NULL","1","1","tdbl_6369e253c08de5cf60c28ca5de405535","en_60c28ca5de405535ffee13b12ba6c560","team_0f1b93d1f9daa8aad8d27fb0165fc89a","CHA","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"Josh Richardson",120,120,120,19.2,19.2,"NULL","NULL",1.54,"NULL","NULL","NULL","NULL","1","1","tdbl_6369e253c08de5cfb3147c681557a264","en_b3147c681557a2644f58a36079723a84","team_a81cc369e80e7779c099c9acc75d1d2d","SAS","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"Jerami Grant",121,135,121,0,0,"NULL","NULL",1,"NULL","NULL","NULL","NULL","1","1","tdbl_6369e253c08de5cf5f7238ac84504d30","en_5f7238ac84504d30128c8c324bf3f074","team_25ee4cc4ceb6e55bf09e36b84fafffe3","POR","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"Herbert Jones",122,121,122,19.16,19.16,"NULL","NULL",1.5,"NULL","NULL","NULL","NULL","1","1","tdbl_6369e253c08de5cf6151cad8d6aff52a","en_6151cad8d6aff52a6930b7f81f73ec1c","team_5d4cd39927492d235af4ebdf3c541ed4","NOP","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"Torrey Craig",123,122,123,18.91,18.91,"NULL","NULL",1.51,"NULL","NULL","NULL","NULL","1","1","tdbl_6369e253c08de5cf85a44053bbc1d56e","en_85a44053bbc1d56ec2f3118d37683e13","team_b24eab7ad40329a6c2d98499001984d6","PHX","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"Precious Achiuwa",124,123,124,18.74,18.74,"NULL","NULL",1.44,"NULL","NULL","NULL","NULL","1","1","tdbl_6369e253c08de5cf5fda360ef6202411","en_5fda360ef62024118e1ccecc962790a5","team_348740f5a05d6c44db96baaa917e5412","TOR","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"Norman Powell",125,124,125,18.73,18.73,"NULL","NULL",1.49,"NULL","NULL","NULL","NULL","1","1","tdbl_6369e253c08de5cf6de03cb5c6424ccc","en_6de03cb5c6424ccca9571cf1bc851464","team_7dd4f60270d41675e670de5d3b365167","LAC","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"Justise Winslow",126,78,126,26.09,26.09,"NULL","NULL",2.76,"NULL","NULL","NULL","NULL","1","1","tdbl_6369e253c08de5cf4e404eba568f48c6","en_4e404eba568f48c6d8130e592efb7405","team_25ee4cc4ceb6e55bf09e36b84fafffe3","POR","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"Bruce Brown",127,125,127,18.12,18.12,"NULL","NULL",1.37,"NULL","NULL","NULL","NULL","1","1","tdbl_6369e253c08de5cfeb9f01dc0b42e354","en_eb9f01dc0b42e354366fd5be823fc05d","team_0d0866361e9040ebffc04d6b5615caf7","DEN","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"Terance Mann",128,126,128,17.96,17.96,"NULL","NULL",1.34,"NULL","NULL","NULL","NULL","1","1","tdbl_6369e253c08de5cfa891f62d1a514b14","en_a891f62d1a514b14681961fcda1744f7","team_7dd4f60270d41675e670de5d3b365167","LAC","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"Troy Brown",129,127,129,17.82,17.82,"NULL","NULL",1.35,"NULL","NULL","NULL","NULL","1","1","tdbl_6369e253c08de5cf13a6a7603aa51437","en_13a6a7603aa51437fd3a84ff3ac973c6","team_c810af314a7b97e51d7b768db3b140dd","LAL","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"Malik Beasley",130,129,130,17.13,17.13,"NULL","NULL",1.14,"NULL","NULL","NULL","NULL","1","1","tdbl_6369e253c08de5cf141d41b6344085db","en_141d41b6344085dbc83a584b68228cbe","team_1a5bcc13aa6b9c181ed4a0e9eb55d5d4","UTA","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"Nick Richards",131,128,131,17.77,17.77,"NULL","NULL",1.33,"NULL","NULL","NULL","NULL","1","1","tdbl_6369e253c08de5cf5fda360f34a958f5","en_5fda360f34a958f5e8f12aabe95731d5","team_0f1b93d1f9daa8aad8d27fb0165fc89a","CHA","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"Patrick Beverley",132,130,132,16.66,16.66,"NULL","NULL",1.33,"NULL","NULL","NULL","NULL","1","1","tdbl_6369e253c08de5cfb402a1af1291a618","en_b402a1af1291a618d01d5fdeb2b5700f","team_c810af314a7b97e51d7b768db3b140dd","LAL","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"Christian Koloko",133,131,133,16.47,16.47,"NULL","NULL",1.23,"NULL","NULL","NULL","NULL","1","1","tdbl_6369e253c08de5cf62bafc5668ff5159","en_62bafc5668ff51596412f73dc1db5450","team_348740f5a05d6c44db96baaa917e5412","TOR","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"Derrick White",134,132,134,16.44,16.44,"NULL","NULL",1.19,"NULL","NULL","NULL","NULL","1","1","tdbl_6369e253c08de5cf1fa4838d30549dd8","en_1fa4838d30549dd8c70eb5d3e8bc7913","team_1fb9f79b7b84d69cf4ca8b6c43ca0817","BOS","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"Cam Reddish",135,133,135,16.05,16.05,"NULL","NULL",1.17,"NULL","NULL","NULL","NULL","1","1","tdbl_6369e253c08de5cf36f2bc3b8d6ed8c1","en_36f2bc3b8d6ed8c1bb22d26425ef02d2","team_5deb8a73923692ffb84a1e59b19b2839","NYK","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
