"NAME","RANK_PROJECTED","RANK_PROJECTED_LIVE","RANK_SCORED","FANTASY_POINTS_PROJECTED","FANTASY_POINTS_PROJECTED_LIVE","FANTASY_POINTS_SCORED","IPO_PRICE","SUGGESTED_PRICE","LAST_PRICE","BID_PRICE","ASK_PRICE","FINAL_PRICE","PROJECTED_VALUATION","CURRENT_VALUATION","TRADEABLE_ID","ENTITY_ID","TEAM_ID","TEAM_ABBREVIATION","EVENT_ID","EVENT_NAME"
"Terry Rozier",17,18,17,39.76,39.76,"NULL","NULL",6.57,"NULL","NULL","NULL","NULL","8.25","8.25","tdbl_6369e253c08de5cfddb9b040cd92aaa9","en_ddb9b040cd92aaa9ec560b0ff19a38d8","team_0f1b93d1f9daa8aad8d27fb0165fc89a","CHA","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"Donovan Mitchell",18,19,18,39.52,39.52,"NULL","NULL",6.26,"NULL","NULL","NULL","NULL","8","8","tdbl_6369e253c08de5cf66ecfa0bb24ccc58","en_66ecfa0bb24ccc5868f025eeb01b0346","team_c00646340cb990d711ba0a71836a83f9","CLE","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"Darius Garland",19,20,19,39.48,39.48,"NULL","NULL",6.5,"NULL","NULL","NULL","NULL","7.75","7.75","tdbl_6369e253c08de5cf2c32422174fc1a5a","en_2c32422174fc1a5a264857a2f6078612","team_c00646340cb990d711ba0a71836a83f9","CLE","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"Brandon Ingram",20,21,20,39.29,39.29,"NULL","NULL",6.53,"NULL","NULL","NULL","NULL","7.5","7.5","tdbl_6369e253c08de5cf50924ad9a2f1f059","en_50924ad9a2f1f059ed4ee6b3633c6c19","team_5d4cd39927492d235af4ebdf3c541ed4","NOP","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"De'Aaron Fox",21,22,21,39.27,39.27,"NULL","NULL",6.39,"NULL","NULL","NULL","NULL","7.25","7.25","tdbl_6369e253c08de5cf821cc214f2e550d8","en_821cc214f2e550d88101bee6f7016d0f","team_3e7ac27c9ed5ebd3354872841521e986","SAC","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"Jaylen Brown",22,23,22,38.96,38.96,"NULL","NULL",6.47,"NULL","NULL","NULL","NULL","7","7","tdbl_6369e253c08de5cf4b8c495d9fa8db90","en_4b8c495d9fa8db90c0b6dd48d1b5d785","team_1fb9f79b7b84d69cf4ca8b6c43ca0817","BOS","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"Damian Lillard",23,13,23,41.67,41.67,"NULL","NULL",7.22,"NULL","NULL","NULL","NULL","6.84","6.84","tdbl_6369e253c08de5cf01113a8407ed38e2","en_01113a8407ed38e2c38f2400f996a324","team_25ee4cc4ceb6e55bf09e36b84fafffe3","POR","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"Julius Randle",24,24,24,37.57,37.57,"NULL","NULL",6.42,"NULL","NULL","NULL","NULL","6.67","6.67","tdbl_6369e253c08de5cfdcbfa30bc15589d8","en_dcbfa30bc15589d840f82600d2584c6b","team_5deb8a73923692ffb84a1e59b19b2839","NYK","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"Lauri Markkanen",25,25,25,37.12,37.12,"NULL","NULL",5.64,"NULL","NULL","NULL","NULL","6.5","6.5","tdbl_6369e253c08de5cf12eea72edeb9eff3","en_12eea72edeb9eff384f34270977fbdc8","team_1a5bcc13aa6b9c181ed4a0e9eb55d5d4","UTA","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"Scottie Barnes",26,26,26,36.7,36.7,"NULL","NULL",5.59,"NULL","NULL","NULL","NULL","6.34","6.34","tdbl_6369e253c08de5cf6151cad76fd11f3c","en_6151cad76fd11f3cedf2306909f3fbaf","team_348740f5a05d6c44db96baaa917e5412","TOR","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"Cade Cunningham",27,27,27,36.43,36.43,"NULL","NULL",5.94,"NULL","NULL","NULL","NULL","6.17","6.17","tdbl_6369e253c08de5cf6151cad941a61e84","en_6151cad941a61e84a5253f0475f87f8e","team_aa96573963b629bf2a078d8cc3e107b2","DET","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"Keldon Johnson",28,28,28,36.24,36.24,"NULL","NULL",5.57,"NULL","NULL","NULL","NULL","6","6","tdbl_6369e253c08de5cffe61ab69829bf6da","en_fe61ab69829bf6dab4dd36f9250fd546","team_a81cc369e80e7779c099c9acc75d1d2d","SAS","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"DeMar DeRozan",29,29,29,35.8,35.8,"NULL","NULL",5.18,"NULL","NULL","NULL","NULL","5.84","5.84","tdbl_6369e253c08de5cfd990c82c4ca85db2","en_d990c82c4ca85db2842ad80db1af326d","team_c13144b884a226eb1644f76c1538f47f","CHI","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"Desmond Bane",30,30,30,35.48,35.48,"NULL","NULL",5.31,"NULL","NULL","NULL","NULL","5.67","5.67","tdbl_6369e253c08de5cf5fda3613ec80af9c","en_5fda3613ec80af9cbed585df37d9a1a5","team_ee38041b627b686997c75b66a27c2d63","MEM","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"Nikola Vucevic",31,31,31,34.81,34.81,"NULL","NULL",5.66,"NULL","NULL","NULL","NULL","5.5","5.5","tdbl_6369e253c08de5cff6c7d554d2fa9f75","en_f6c7d554d2fa9f754e26a136a78154f1","team_c13144b884a226eb1644f76c1538f47f","CHI","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"Alperen Sengun",32,32,32,34.69,34.69,"NULL","NULL",5.05,"NULL","NULL","NULL","NULL","5.34","5.34","tdbl_6369e253c08de5cf6151cad8535b9fa3","en_6151cad8535b9fa31948810ce2da807b","team_682f0dedc9cc1e1459a84a8fa457adfa","HOU","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"Zach LaVine",33,33,33,34.64,34.64,"NULL","NULL",4.95,"NULL","NULL","NULL","NULL","5.17","5.17","tdbl_6369e253c08de5cf6e0fdc100bc85f36","en_6e0fdc100bc85f36982958c63fa49d4d","team_c13144b884a226eb1644f76c1538f47f","CHI","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"Kevin Porter",34,34,34,34.5,34.5,"NULL","NULL",4.97,"NULL","NULL","NULL","NULL","5","5","tdbl_6369e253c08de5cfff28eb20d301f9a1","en_ff28eb20d301f9a1ea59034a859a207a","team_682f0dedc9cc1e1459a84a8fa457adfa","HOU","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"Anthony Edwards",35,35,35,34.26,34.26,"NULL","NULL",4.93,"NULL","NULL","NULL","NULL","4.88","4.88","tdbl_6369e253c08de5cf5fda36138b3d8089","en_5fda36138b3d8089248164700733b78d","team_d83b7e99efe8e32e00e57f311b7f2474","MIN","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"Jalen Brunson",36,37,36,33.3,33.3,"NULL","NULL",4.54,"NULL","NULL","NULL","NULL","4.75","4.75","tdbl_6369e253c08de5cf6791d750d44470d1","en_6791d750d44470d1790b007c4bd38a5f","team_5deb8a73923692ffb84a1e59b19b2839","NYK","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"OG Anunoby",37,36,37,33.44,33.44,"NULL","NULL",4.82,"NULL","NULL","NULL","NULL","4.63","4.63","tdbl_6369e253c08de5cf82db34a5ef5dff8e","en_82db34a5ef5dff8ea7ec34a62a380e9b","team_348740f5a05d6c44db96baaa917e5412","TOR","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"CJ McCollum",38,39,38,33.19,33.19,"NULL","NULL",4.69,"NULL","NULL","NULL","NULL","4.5","4.5","tdbl_6369e253c08de5cf4641ef307a4855e5","en_4641ef307a4855e5926a44fa508e31f0","team_5d4cd39927492d235af4ebdf3c541ed4","NOP","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"Brook Lopez",39,38,39,33.29,33.29,"NULL","NULL",4.89,"NULL","NULL","NULL","NULL","4.38","4.38","tdbl_6369e253c08de5cf806121a64c461e99","en_806121a64c461e99961ed7af9079dd93","team_a6917fcb35a29ee9de8c00be7e36f5ae","MIL","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"Jarrett Allen",40,40,40,32.93,32.93,"NULL","NULL",4.49,"NULL","NULL","NULL","NULL","4.25","4.25","tdbl_6369e253c08de5cf76c100ef2f1e6d85","en_76c100ef2f1e6d85af36efbcfb0a056c","team_c00646340cb990d711ba0a71836a83f9","CLE","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"Rudy Gobert",41,42,41,32.28,32.28,"NULL","NULL",3.91,"NULL","NULL","NULL","NULL","4.13","4.13","tdbl_6369e253c08de5cf2d5eb9139e57478c","en_2d5eb9139e57478cbc9808bd88c32da0","team_d83b7e99efe8e32e00e57f311b7f2474","MIN","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"RJ Barrett",42,44,42,32.21,32.21,"NULL","NULL",3.89,"NULL","NULL","NULL","NULL","4","4","tdbl_6369e253c08de5cf30e17ed50d20cfce","en_30e17ed50d20cfce8f2fc46b8799d0fd","team_5deb8a73923692ffb84a1e59b19b2839","NYK","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"Nic Claxton",43,41,43,32.31,32.31,"NULL","NULL",3.87,"NULL","NULL","NULL","NULL","3.9","3.9","tdbl_6369e253c08de5cf3f989864d2e21f67","en_3f989864d2e21f67d4b40fcc42526503","team_926e47503c56d019668d93e2cfa33df6","BKN","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"Buddy Hield",44,45,44,32.12,32.12,"NULL","NULL",3.82,"NULL","NULL","NULL","NULL","3.8","3.8","tdbl_6369e253c08de5cf3691c43454c522a8","en_3691c43454c522a8a0df48c557ff6b85","team_fddfa070df9277c85017cffe4104b12e","IND","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"Deandre Ayton",45,46,45,32.01,32.01,"NULL","NULL",3.86,"NULL","NULL","NULL","NULL","3.7","3.7","tdbl_6369e253c08de5cf67c8368a3905f8be","en_67c8368a3905f8beee69393ccec854e5","team_b24eab7ad40329a6c2d98499001984d6","PHX","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"Jordan Clarkson",46,48,46,31.94,31.94,"NULL","NULL",3.57,"NULL","NULL","NULL","NULL","3.6","3.6","tdbl_6369e253c08de5cfb1f75a880e970eed","en_b1f75a880e970eed62358ab33ea3501c","team_1a5bcc13aa6b9c181ed4a0e9eb55d5d4","UTA","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"Myles Turner",47,47,47,31.97,31.97,"NULL","NULL",3.9,"NULL","NULL","NULL","NULL","3.5","3.5","tdbl_6369e253c08de5cf9eac5cb53b05ad1f","en_9eac5cb53b05ad1fc441dceebe616d58","team_fddfa070df9277c85017cffe4104b12e","IND","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"Jalen Green",48,49,48,31.38,31.38,"NULL","NULL",3.88,"NULL","NULL","NULL","NULL","3.4","3.4","tdbl_6369e253c08de5cf6151cad8ba8d1035","en_6151cad8ba8d10358c5223eccea4696c","team_682f0dedc9cc1e1459a84a8fa457adfa","HOU","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"Jakob Poeltl",49,50,49,30.95,30.95,"NULL","NULL",3.93,"NULL","NULL","NULL","NULL","3.3","3.3","tdbl_6369e253c08de5cf6f4d2e8b1bb4befa","en_6f4d2e8b1bb4befa3e0aaa8fcd56831c","team_a81cc369e80e7779c099c9acc75d1d2d","SAS","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
"Clint Capela",50,56,50,30.04,30.04,"NULL","NULL",3.38,"NULL","NULL","NULL","NULL","3.2","3.2","tdbl_6369e253c08de5cf6f00e5a44587434e","en_6f00e5a44587434e7670b5c171095e92","team_4d7379c8d756e5a15190c56b550778a8","ATL","evt_6369e253c08de5cf79f26b373490b332","NBA Daily Main Market 11/9"
