player,ipo_price,final_payout,roi,name,position,fantasy_points_scored,sector_code,date,num_pos,num_neg,num_neutral,sum_sent_score,total_tweets,avg_sent_score,pos_perc,neg_perc,neutral_perc,lag_sum_sent_score,lag_avg_sent_score,lag_total_tweets,lag_pos_perc
Bradley Beal,9.11,10.5,0.15257958287596055,NBA Daily Main Market 10/23,SG,41,NBA,2022-10-23,68,66,61,-0.12157050773762,195,-6.234385012185641e-4,0.3487179487179487,0.3384615384615385,0.3128205128205128,1.83816251846784,0.00957376311702,192,0.4427083333333333
De'Aaron Fox,10.2,15,0.47058823529411775,NBA Daily Main Market 10/23,PG,46.75,NBA,2022-10-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Klay Thompson,4.86,2.08,-0.5720164609053499,NBA Daily Main Market 10/23,SG,14.5,NBA,2022-10-23,95,70,77,3.11839461937037,242,0.012885928179216405,0.3925619834710744,0.2892561983471074,0.3181818181818182,-8.20845067299535,-0.019405320739941723,423,0.35224586288416077
Andrew Wiggins,6.85,11.5,0.6788321167883212,NBA Daily Main Market 10/23,SF,41.25,NBA,2022-10-23,96,40,117,15.3304203406595,253,0.060594546801025696,0.3794466403162055,0.15810276679841898,0.4624505928853755,11.1414969920214,0.052554231094440566,212,0.5094339622641509
Devin Booker,11.11,13,0.1701170117011702,NBA Daily Main Market 10/23,SG,45.75,NBA,2022-10-23,151,99,123,10.074144263409,373,0.027008429660613942,0.40482573726541554,0.26541554959785524,0.3297587131367292,5.32589765819816,0.020804287727336564,256,0.4140625
Stephen Curry,14,14,0,NBA Daily Main Market 10/23,PG,45.75,NBA,2022-10-23,326,220,354,22.9509415580593,900,0.025501046175621444,0.3622222222222222,0.24444444444444444,0.3933333333333333,27.9721375045039,0.033701370487354096,830,0.4506024096385542
Deandre Ayton,9.26,4.63,-0.5,NBA Daily Main Market 10/23,C,23.5,NBA,2022-10-23,25,21,31,1.80869309587983,77,0.023489520725712077,0.3246753246753247,0.2727272727272727,0.4025974025974026,-7.71437533245534,-0.03744842394395796,206,0.2815533980582524
Jordan Poole,6.13,7.25,0.18270799347471453,NBA Daily Main Market 10/23,SG,32.5,NBA,2022-10-23,159,99,132,16.1617131931994,390,0.04144029023897282,0.4076923076923077,0.25384615384615383,0.3384615384615385,-23.7004271836582,-0.0283497932818878,836,0.33133971291866027
Donovan Mitchell,12.99,20,0.5396458814472671,NBA Daily Main Market 10/23,SG,52.75,NBA,2022-10-23,674,325,549,85.6531065270428,1548,0.05533146416475633,0.4354005167958656,0.2099483204134367,0.3546511627906977,75.7637869447,0.0760680591814257,996,0.4919678714859438
Chris Paul,8.43,7.75,-0.08066429418742582,NBA Daily Main Market 10/23,PG,33,NBA,2022-10-23,258,163,180,17.67411057995,601,0.02940783790341098,0.4292845257903494,0.27121464226289516,0.2995008319467554,-6.42665266805529,-0.009722621282988337,661,0.3903177004538578
Domantas Sabonis,10.65,12,0.12676056338028166,NBA Daily Main Market 10/23,PF,43.5,NBA,2022-10-23,21,21,19,-0.047278078306324,61,-7.750504640380984e-4,0.3442622950819672,0.3442622950819672,0.3114754098360656,0.980565679862172,0.02580435999637295,38,0.5
Jarrett Allen,7.77,10,0.2870012870012871,NBA Daily Main Market 10/23,C,39,NBA,2022-10-23,96,73,70,3.97434675550878,239,0.01662906592263088,0.401673640167364,0.3054393305439331,0.2928870292887029,1.34338495298469,0.016792311912308625,80,0.45
Kawhi Leonard,5.52,4.88,-0.11594202898550719,NBA Daily Main Market 10/23,SF,24,NBA,2022-10-23,110,66,75,10.3374254584112,251,0.04118496198570199,0.43824701195219123,0.26294820717131473,0.29880478087649404,4.27351910365696,0.02273148459392,188,0.39893617021276595
Rudy Gobert,11.01,8.75,-0.20526793823796546,NBA Daily Main Market 10/23,C,37.25,NBA,2022-10-23,109,75,66,4.75925369296942,250,0.019037014771877678,0.436,0.3,0.264,0.135805496824503,4.8329358300534873e-4,281,0.42704626334519574
Shai Gilgeous-Alexander,6.66,1,-0.8498498498498499,NBA Daily Main Market 10/23,SG,0,NBA,2022-10-23,27,51,59,-5.0423665131663,137,-0.03680559498661533,0.19708029197080293,0.3722627737226277,0.4306569343065693,3.27530496136423,0.03599236221279374,91,0.37362637362637363
CJ McCollum,8.16,16,0.9607843137254901,NBA Daily Main Market 10/23,SG,49.5,NBA,2022-10-23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anthony Edwards,9.17,18,0.9629225736095965,NBA Daily Main Market 10/23,SG,50.75,NBA,2022-10-23,135,114,122,5.25936236960569,371,0.014176178893815877,0.3638814016172507,0.30727762803234504,0.3288409703504043,2.42004784740701,0.020167065395058418,120,0.43333333333333335
Karl-Anthony Towns,11.49,8,-0.3037423846823325,NBA Daily Main Market 10/23,C,33,NBA,2022-10-23,16,22,22,-0.594097247689942,60,-0.009901620794832366,0.26666666666666666,0.36666666666666664,0.36666666666666664,0.635369682729317,0.020495796217074744,31,0.45161290322580644
Brandon Ingram,10.4,2,-0.8076923076923077,NBA Daily Main Market 10/23,SF,14.25,NBA,2022-10-23,237,307,257,-28.4037443856898,801,-0.03546035503831436,0.2958801498127341,0.383270911360799,0.3208489388264669,14.3945705258559,0.07090921441308325,203,0.458128078817734
Paul George,10.75,7.5,-0.3023255813953488,NBA Daily Main Market 10/23,SF,32.75,NBA,2022-10-23,686,424,593,49.4479112685548,1703,0.029035767039668113,0.4028185554903112,0.24897240164415738,0.3482090428655314,24.2433702483801,0.03701277900516046,655,0.4122137404580153
Jimmy Butler,7.81,5.34,-0.31626120358514725,NBA Daily Main Market 10/22,SF,34.5,NBA,2022-10-22,271,91,5,36.6017476636699,367,0.0997322824623158,0.7384196185286104,0.24795640326975477,0.013623978201634877,61.384859121491,0.09916778533358804,619,0.7334410339256866
Cade Cunningham,7.59,5.17,-0.3188405797101449,NBA Daily Main Market 10/22,PG,33.5,NBA,2022-10-22,85,74,57,-1.3350906171909,216,-0.006180975079587501,0.39351851851851855,0.3425925925925926,0.2638888888888889,4.03434073964763,0.022922390566179715,176,0.4431818181818182
Jaylen Brown,7.75,2.83,-0.6348387096774194,NBA Daily Main Market 10/22,SF,28.25,NBA,2022-10-22,316,288,322,-6.17876713554207,926,-0.006672534703609147,0.3412526997840173,0.31101511879049676,0.34773218142548595,56.6319689964224,0.051436847408194736,1101,0.4287011807447775
De'Aaron Fox,7.32,11.5,0.5710382513661202,NBA Daily Main Market 10/22,PG,52.75,NBA,2022-10-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Joel Embiid,11.99,20,0.6680567139282735,NBA Daily Main Market 10/22,C,66.25,NBA,2022-10-22,217,219,94,-1.04561488029732,530,-0.0019728582647119243,0.40943396226415096,0.41320754716981134,0.17735849056603772,-0.6175136668836,-0.0012060813806320312,512,0.41796875
Luka Doncic,14.99,18,0.20080053368912607,NBA Daily Main Market 10/22,PG,63.25,NBA,2022-10-22,325,209,280,25.5887157533204,814,0.03143576873872285,0.39926289926289926,0.25675675675675674,0.343980343980344,12.5329778258115,0.0666647756692101,188,0.5478723404255319
Donovan Mitchell,8.88,13,0.46396396396396383,NBA Daily Main Market 10/22,SG,57.25,NBA,2022-10-22,490,181,325,75.7637869447,996,0.0760680591814257,0.4919678714859438,0.1817269076305221,0.32630522088353414,10.5167389183202,0.032359196671754464,325,0.46153846153846156
James Harden,11,8.5,-0.22727272727272727,NBA Daily Main Market 10/22,SG,41.25,NBA,2022-10-22,301,698,27,-72.3365760508959,1026,-0.0705034854297231,0.2933723196881092,0.6803118908382066,0.02631578947368421,-31.5003751775798,-0.03658580159997654,861,0.34959349593495936
Marcus Smart,4.22,1,-0.7630331753554502,NBA Daily Main Market 10/22,PG,17.5,NBA,2022-10-22,407,141,20,64.4011881757497,568,0.1133823735488551,0.7165492957746479,0.2482394366197183,0.035211267605633804,55.9591431829202,0.11682493357603382,479,0.7306889352818372
Giannis Antetokounmpo,16.46,25,0.5188335358444713,NBA Daily Main Market 10/22,PF,66.5,NBA,2022-10-22,109,91,49,5.5338596107555,249,0.022224335786166668,0.43775100401606426,0.3654618473895582,0.19678714859437751,7.89232820574461,0.04841919144628595,163,0.5460122699386503
Ja Morant,11,2.66,-0.7581818181818182,NBA Daily Main Market 10/22,PG,27.75,NBA,2022-10-22,749,567,457,39.8317149744169,1773,0.022465716285627126,0.4224478285391991,0.3197969543147208,0.2577552171460801,61.4171049039846,0.025537257756334555,2405,0.3841995841995842
Bam Adebayo,6.67,1,-0.8500749625187406,NBA Daily Main Market 10/22,C,19.25,NBA,2022-10-22,51,29,28,1.53838246370081,108,0.014244282071303797,0.4722222222222222,0.26851851851851855,0.25925925925925924,7.77747913244078,0.028077541994371045,277,0.44765342960288806
Fred VanVleet,5.8,2.5,-0.5689655172413793,NBA Daily Main Market 10/22,PG,27,NBA,2022-10-22,25,24,13,-1.2076992274972,62,-0.019479019798341938,0.4032258064516129,0.3870967741935484,0.20967741935483872,3.13286980287222,0.043512080595447505,72,0.4583333333333333
Jrue Holiday,7.59,10,0.31752305665349145,NBA Daily Main Market 10/22,PG,44.75,NBA,2022-10-22,206,24,1,51.9800112593775,231,0.22502169376353895,0.8917748917748918,0.1038961038961039,0.004329004329004329,21.6522492262339,0.19506530834444955,111,0.8648648648648649
Domantas Sabonis,7.77,7.5,-0.034749034749034693,NBA Daily Main Market 10/22,PF,39,NBA,2022-10-22,19,8,11,0.980565679862172,38,0.02580435999637295,0.5,0.21052631578947367,0.2894736842105263,0.133171352280564,0.026634270456112802,5,0.4
Jayson Tatum,10.2,16,0.5686274509803922,NBA Daily Main Market 10/22,SF,61.5,NBA,2022-10-22,566,213,435,66.8782539315517,1214,0.05508917127804917,0.46622734761120266,0.17545304777594728,0.35831960461285006,48.8359102560454,0.05705129702809042,856,0.4392523364485981
