player,ipo_price,final_payout,roi,name,position,fantasy_points_scored,sector_code,date
Jamal Murray,2.8,1,-0.6428571428571428,NBA Daily Main Market 10/28,PG,16.25,NBA,2022-10-28
Nikola Jokic,19.34,12,-0.3795243019648397,NBA Daily Late Market 10/28,C,35,NBA,2022-10-28
Jamal Murray,5.9,2.38,-0.5966101694915255,NBA Daily Late Market 10/28,PG,16.25,NBA,2022-10-28
Nikola Jokic,15.25,5,-0.6721311475409836,NBA Daily Main Market 10/28,C,35,NBA,2022-10-28
Bradley Beal,6.2,13,1.096774193548387,NBA Daily Main Market 10/28,SG,54.75,NBA,2022-10-28
Jarrett Allen,4.4,2.58,-0.4136363636363637,NBA Daily Main Market 10/28,C,28.25,NBA,2022-10-28
Rudy Gobert,6.55,14,1.1374045801526718,NBA Daily Main Market 10/28,C,57.75,NBA,2022-10-28
Jrue Holiday,6.03,4.38,-0.27363184079601993,NBA Daily Main Market 10/28,PG,32.75,NBA,2022-10-28
Anthony Edwards,6.26,5.84,-0.0670926517571885,NBA Daily Main Market 10/28,SG,37,NBA,2022-10-28
Dejounte Murray,8.55,6.17,-0.27836257309941526,NBA Daily Main Market 10/28,PG,38,NBA,2022-10-28
Cade Cunningham,6.25,16,1.56,NBA Daily Main Market 10/28,PG,59.75,NBA,2022-10-28
Karl-Anthony Towns,7.79,7.25,-0.0693196405648267,NBA Daily Main Market 10/28,C,42.5,NBA,2022-10-28
Pascal Siakam,9.75,7.5,-0.23076923076923078,NBA Daily Main Market 10/28,PF,45.5,NBA,2022-10-28
Deandre Ayton,5.55,1,-0.8198198198198198,NBA Daily Main Market 10/28,C,6.75,NBA,2022-10-28
Chris Paul,9.49,5,-0.4731296101159115,NBA Daily Late Market 10/28,PG,24.25,NBA,2022-10-28
Deandre Ayton,9.9,1,-0.898989898989899,NBA Daily Late Market 10/28,C,6.75,NBA,2022-10-28
Chris Paul,5.12,1.65,-0.677734375,NBA Daily Main Market 10/28,PG,24.25,NBA,2022-10-28
Anthony Davis,1,1,0,NBA Daily Main Market 10/28,PF,0,NBA,2022-10-28
Trae Young,9.01,15,0.6648168701442841,NBA Daily Main Market 10/28,PG,58.5,NBA,2022-10-28
CJ McCollum,3.88,2.92,-0.24742268041237114,NBA Daily Main Market 10/28,SG,29.5,NBA,2022-10-28
CJ McCollum,12.05,7,-0.4190871369294606,NBA Daily Late Market 10/28,SG,29.5,NBA,2022-10-28
LeBron James,13.65,8.5,-0.3772893772893773,NBA Daily Main Market 10/28,SF,47.25,NBA,2022-10-28
Joel Embiid,5.49,1,-0.8178506375227687,NBA Daily Main Market 10/28,C,0,NBA,2022-10-28
Fred VanVleet,5.5,1,-0.8181818181818182,NBA Daily Main Market 10/28,PG,8.25,NBA,2022-10-28
Jimmy Butler,10.9,18,0.6513761467889908,NBA Daily Main Market 10/27,SF,60,NBA,2022-10-27
Luka Doncic,19,25,0.3157894736842105,NBA Daily Main Market 10/27,PG,79.25,NBA,2022-10-27
Andrew Wiggins,8.16,10,0.22549019607843135,NBA Daily Main Market 10/27,SF,36.5,NBA,2022-10-27
Bam Adebayo,9.2,14,0.5217391304347827,NBA Daily Main Market 10/27,C,50.5,NBA,2022-10-27
Shai Gilgeous-Alexander,13.5,12,-0.1111111111111111,NBA Daily Main Market 10/27,SG,41.25,NBA,2022-10-27
Kyrie Irving,10.64,20,0.8796992481203006,NBA Daily Main Market 10/27,PG,64.75,NBA,2022-10-27
Kevin Durant,13.91,15,0.07836089144500358,NBA Daily Main Market 10/27,SF,53.75,NBA,2022-10-27
Domantas Sabonis,11.55,11,-0.04761904761904768,NBA Daily Main Market 10/27,PF,38.75,NBA,2022-10-27
Klay Thompson,5.89,4,-0.32088285229202035,NBA Daily Main Market 10/27,SG,20,NBA,2022-10-27
Stephen Curry,12.98,16,0.23266563944530042,NBA Daily Main Market 10/27,PG,59.25,NBA,2022-10-27
De'Aaron Fox,12.45,11.5,-0.07630522088353409,NBA Daily Main Market 10/27,PG,40,NBA,2022-10-27
Paul George,12.8,3.8,-0.703125,NBA Daily Main Market 10/27,SF,19.25,NBA,2022-10-27
Jordan Poole,7.15,5.67,-0.20699300699300704,NBA Daily Main Market 10/27,SG,24.25,NBA,2022-10-27
Ja Morant,16.99,8.75,-0.48499117127722186,NBA Daily Main Market 10/27,PG,34.25,NBA,2022-10-27
RJ Barrett,4.3,3.2,-0.25581395348837205,NBA Daily Main Market 10/26,SG,30.5,NBA,2022-10-26
James Harden,10.09,7.25,-0.28146679881070363,NBA Daily Main Market 10/26,SG,40.25,NBA,2022-10-26
Jimmy Butler,11.46,7.5,-0.3455497382198953,NBA Daily Late Market 10/26,SF,31.75,NBA,2022-10-26
Giannis Antetokounmpo,17.05,25,0.46627565982404684,NBA Daily Main Market 10/26,PF,74.5,NBA,2022-10-26
Jimmy Butler,7.16,3.3,-0.5391061452513967,NBA Daily Main Market 10/26,SF,31.75,NBA,2022-10-26
Bam Adebayo,5.8,3.6,-0.3793103448275862,NBA Daily Main Market 10/26,C,32,NBA,2022-10-26
Kevin Durant,10.13,11,0.08588351431391897,NBA Daily Main Market 10/26,SF,45,NBA,2022-10-26
Bam Adebayo,8.88,8,-0.09909909909909918,NBA Daily Late Market 10/26,C,32,NBA,2022-10-26
Donovan Mitchell,9.73,3.1,-0.6813977389516959,NBA Daily Main Market 10/26,SG,29.5,NBA,2022-10-26
Tyrese Haliburton,7.32,6.17,-0.15710382513661206,NBA Daily Main Market 10/26,PG,37.5,NBA,2022-10-26
Nikola Jokic,14.61,20,0.3689253935660507,NBA Daily Main Market 10/26,C,69.25,NBA,2022-10-26
DeMar DeRozan,7.81,1,-0.8719590268886044,NBA Daily Main Market 10/26,SG,23.25,NBA,2022-10-26
Nikola Jokic,20.05,25,0.2468827930174563,NBA Daily Late Market 10/26,C,69.25,NBA,2022-10-26
Jamal Murray,5.94,6.5,0.09427609427609421,NBA Daily Late Market 10/26,PG,26.5,NBA,2022-10-26
Jarrett Allen,5,8.25,0.65,NBA Daily Main Market 10/26,C,42.5,NBA,2022-10-26
Jamal Murray,3.22,2.22,-0.3105590062111801,NBA Daily Main Market 10/26,PG,26.5,NBA,2022-10-26
Jrue Holiday,6.6,2.75,-0.5833333333333333,NBA Daily Main Market 10/26,PG,28.75,NBA,2022-10-26
Rudy Gobert,6.91,2.15,-0.6888567293777134,NBA Daily Main Market 10/26,C,26.25,NBA,2022-10-26
Dejounte Murray,8.61,6.5,-0.24506387921022063,NBA Daily Main Market 10/26,PG,39,NBA,2022-10-26
Kyrie Irving,7.84,6.34,-0.1913265306122449,NBA Daily Main Market 10/26,PG,38.25,NBA,2022-10-26
Karl-Anthony Towns,7.66,8.75,0.1422976501305483,NBA Daily Main Market 10/26,C,43,NBA,2022-10-26
Anthony Edwards,6.15,16,1.6016260162601625,NBA Daily Main Market 10/26,SG,56.25,NBA,2022-10-26
Damian Lillard,13.4,7,-0.47761194029850745,NBA Daily Late Market 10/26,PG,29,NBA,2022-10-26
Cade Cunningham,6.53,10,0.5313935681470138,NBA Daily Main Market 10/26,PG,44,NBA,2022-10-26
Damian Lillard,7.95,2.92,-0.6327044025157232,NBA Daily Main Market 10/26,PG,29,NBA,2022-10-26
Pascal Siakam,8.6,11.5,0.33720930232558144,NBA Daily Main Market 10/26,PF,45.75,NBA,2022-10-26
Anthony Davis,13,20,0.5384615384615384,NBA Daily Late Market 10/26,PF,56,NBA,2022-10-26
Trae Young,9.69,12,0.23839009287925703,NBA Daily Main Market 10/26,PG,48.25,NBA,2022-10-26
Anthony Davis,8.06,15,0.8610421836228287,NBA Daily Main Market 10/26,PF,56,NBA,2022-10-26
LeBron James,13.22,5.17,-0.6089258698940999,NBA Daily Main Market 10/26,SF,35.25,NBA,2022-10-26
LeBron James,19.05,14,-0.2650918635170604,NBA Daily Late Market 10/26,SF,35.25,NBA,2022-10-26
Zach LaVine,5.96,10.5,0.761744966442953,NBA Daily Main Market 10/26,SG,45,NBA,2022-10-26
Joel Embiid,11.11,9.5,-0.14491449144914487,NBA Daily Main Market 10/26,C,43.75,NBA,2022-10-26
Fred VanVleet,5.8,8.5,0.4655172413793104,NBA Daily Main Market 10/26,PG,42.5,NBA,2022-10-26
Devin Booker,13.25,18,0.3584905660377358,NBA Daily Main Market 10/25,SG,53,NBA,2022-10-25
Luka Doncic,19.01,25,0.3150973172014728,NBA Daily Main Market 10/25,PG,64.25,NBA,2022-10-25
Andrew Wiggins,8.36,8,-0.04306220095693773,NBA Daily Main Market 10/25,SF,29.5,NBA,2022-10-25
Bradley Beal,11.25,6,-0.4666666666666667,NBA Daily Main Market 10/25,SG,25.5,NBA,2022-10-25
Shai Gilgeous-Alexander,14.07,20,0.42146410803127216,NBA Daily Main Market 10/25,SG,62.25,NBA,2022-10-25
Cade Cunningham,10.45,4.88,-0.5330143540669856,NBA Daily Main Market 10/25,PG,23.25,NBA,2022-10-25
Deandre Ayton,9.25,13,0.40540540540540543,NBA Daily Main Market 10/25,C,37,NBA,2022-10-25
Chris Paul,9.5,14,0.47368421052631576,NBA Daily Main Market 10/25,PG,40.25,NBA,2022-10-25
Klay Thompson,6.26,1.38,-0.7795527156549521,NBA Daily Main Market 10/25,SG,3.5,NBA,2022-10-25
Stephen Curry,14.99,15,6.671114076050558e-4,NBA Daily Main Market 10/25,PG,43.25,NBA,2022-10-25
CJ McCollum,12.99,7.5,-0.42263279445727486,NBA Daily Main Market 10/25,SG,28,NBA,2022-10-25
Kawhi Leonard,1,1,0,NBA Daily Main Market 10/25,SF,0,NBA,2022-10-25
Jordan Poole,6.98,6.67,-0.044412607449856804,NBA Daily Main Market 10/25,SG,26,NBA,2022-10-25
