player,ipo_price,final_payout,roi,name,position,fantasy_points_scored,sector_code,date
Jrue Holiday,7.59,10,0.31752305665349145,NBA Daily Main Market 10/22,PG,44.75,NBA,2022-10-22
Domantas Sabonis,7.77,7.5,-0.034749034749034693,NBA Daily Main Market 10/22,PF,39,NBA,2022-10-22
Jayson Tatum,10.2,16,0.5686274509803922,NBA Daily Main Market 10/22,SF,61.5,NBA,2022-10-22
Shai Gilgeous-Alexander,8.77,7.25,-0.17331812998859744,NBA Daily Main Market 10/22,SG,38.75,NBA,2022-10-22
Tyrese Haliburton,8.48,12,0.4150943396226414,NBA Daily Main Market 10/22,PG,53.5,NBA,2022-10-22
Jarrett Allen,5.42,1,-0.8154981549815498,NBA Daily Main Market 10/22,C,18.5,NBA,2022-10-22
DeMar DeRozan,8.05,1.32,-0.8360248447204969,NBA Daily Main Market 10/22,SG,21.5,NBA,2022-10-22
Pascal Siakam,8.68,11,0.2672811059907835,NBA Daily Main Market 10/22,PF,47.5,NBA,2022-10-22
Nikola Jokic,14.44,15,0.038781163434903086,NBA Daily Main Market 10/22,C,61,NBA,2022-10-22
Zach LaVine,5.58,6.67,0.19534050179211468,NBA Daily Main Market 10/22,SG,37.25,NBA,2022-10-22
Jamal Murray,1.99,2.92,0.4673366834170854,NBA Daily Main Market 10/22,PG,29,NBA,2022-10-22
Paul George,9.47,14,0.47835269271383307,NBA Daily Main Market 10/22,SF,60.5,NBA,2022-10-22
RJ Barrett,5.07,1.79,-0.6469428007889546,NBA Daily Main Market 10/21,SG,27.25,NBA,2022-10-21
Cade Cunningham,6.42,3.7,-0.4236760124610592,NBA Daily Main Market 10/21,PG,34.5,NBA,2022-10-21
Jimmy Butler,7.91,3.4,-0.5701643489254108,NBA Daily Main Market 10/21,SF,33.75,NBA,2022-10-21
Bam Adebayo,5.62,4.13,-0.2651245551601424,NBA Daily Main Market 10/21,C,38,NBA,2022-10-21
Kevin Durant,11.15,6.5,-0.41704035874439466,NBA Daily Main Market 10/21,SF,43.25,NBA,2022-10-21
Kyrie Irving,7.15,6.34,-0.11328671328671334,NBA Daily Main Market 10/21,PG,43.25,NBA,2022-10-21
Dejounte Murray,9,11.5,0.2777777777777778,NBA Daily Main Market 10/21,PG,49.25,NBA,2022-10-21
Andrew Wiggins,3.59,7.5,1.0891364902506964,NBA Daily Main Market 10/21,SF,45,NBA,2022-10-21
Jaylen Brown,6.39,7.75,0.21283255086071995,NBA Daily Main Market 10/21,SF,45,NBA,2022-10-21
Andrew Wiggins,6.86,12,0.7492711370262389,NBA Daily Late Market 10/21,SF,45,NBA,2022-10-21
Bradley Beal,6.33,3.2,-0.49447077409162715,NBA Daily Main Market 10/21,SG,33.25,NBA,2022-10-21
Stephen Curry,9.23,8.5,-0.07908992416034674,NBA Daily Main Market 10/21,PG,45.75,NBA,2022-10-21
Klay Thompson,4.55,5,0.09890109890109894,NBA Daily Late Market 10/21,SG,23,NBA,2022-10-21
Stephen Curry,16,14,-0.125,NBA Daily Late Market 10/21,PG,45.75,NBA,2022-10-21
Klay Thompson,2.03,1,-0.5073891625615763,NBA Daily Main Market 10/21,SG,23,NBA,2022-10-21
Jayson Tatum,9.5,6.84,-0.28,NBA Daily Main Market 10/21,SF,44.25,NBA,2022-10-21
Devin Booker,13.88,11,-0.20749279538904902,NBA Daily Late Market 10/21,SG,44.75,NBA,2022-10-21
Jordan Poole,7.01,4,-0.4293865905848787,NBA Daily Late Market 10/21,SG,21.25,NBA,2022-10-21
Devin Booker,8.25,7.25,-0.12121212121212122,NBA Daily Main Market 10/21,SG,44.75,NBA,2022-10-21
Jordan Poole,3.59,1,-0.7214484679665738,NBA Daily Main Market 10/21,SG,21.25,NBA,2022-10-21
Deandre Ayton,9.26,8,-0.1360691144708423,NBA Daily Late Market 10/21,C,38.5,NBA,2022-10-21
Tyrese Haliburton,8.25,10,0.21212121212121213,NBA Daily Main Market 10/21,PG,47.75,NBA,2022-10-21
Deandre Ayton,5.02,4.38,-0.1274900398406374,NBA Daily Main Market 10/21,C,38.5,NBA,2022-10-21
Chris Paul,9.5,10,0.05263157894736842,NBA Daily Late Market 10/21,PG,41,NBA,2022-10-21
Damian Lillard,6.47,16,1.4729520865533232,NBA Daily Main Market 10/21,PG,56.25,NBA,2022-10-21
Chris Paul,5.15,5.5,0.06796116504854362,NBA Daily Main Market 10/21,PG,41,NBA,2022-10-21
Damian Lillard,12,25,1.0833333333333333,NBA Daily Late Market 10/21,PG,56.25,NBA,2022-10-21
DeMar DeRozan,8.86,9,0.015801354401805936,NBA Daily Main Market 10/21,SG,47.5,NBA,2022-10-21
Marcus Smart,2.99,1,-0.6655518394648829,NBA Daily Main Market 10/21,PG,13.75,NBA,2022-10-21
Rudy Gobert,7.25,4.63,-0.3613793103448276,NBA Daily Main Market 10/21,C,38.75,NBA,2022-10-21
